2020-11-24 13:26:33,536 - Epoch: 1000	MRR: 0.026	Hits@10: 0.080	Hits@5: 0.025	Hits@1: 0.007
2020-11-24 13:50:48,329 - Epoch: 2000	MRR: 0.050	Hits@10: 0.104	Hits@5: 0.071	Hits@1: 0.021
2020-11-24 14:15:12,510 - Epoch: 3000	MRR: 0.065	Hits@10: 0.132	Hits@5: 0.093	Hits@1: 0.029
2020-11-24 14:39:48,885 - Epoch: 4000	MRR: 0.081	Hits@10: 0.146	Hits@5: 0.106	Hits@1: 0.043
2020-11-24 15:04:04,480 - Epoch: 5000	MRR: 0.085	Hits@10: 0.150	Hits@5: 0.113	Hits@1: 0.047
2020-11-24 16:06:44,563 - Epoch: 6000	MRR: 0.080	Hits@10: 0.152	Hits@5: 0.112	Hits@1: 0.039
2020-11-24 16:19:12,840 - Epoch: 7000	MRR: 0.085	Hits@10: 0.166	Hits@5: 0.120	Hits@1: 0.042
2020-11-24 16:42:04,686 - Epoch: 8000	MRR: 0.087	Hits@10: 0.169	Hits@5: 0.119	Hits@1: 0.045
2020-11-24 17:06:32,869 - Epoch: 9000	MRR: 0.079	Hits@10: 0.166	Hits@5: 0.119	Hits@1: 0.035
2020-11-24 17:30:55,121 - Epoch: 10000	MRR: 0.087	Hits@10: 0.167	Hits@5: 0.117	Hits@1: 0.046
2020-11-24 17:55:23,781 - Epoch: 11000	MRR: 0.091	Hits@10: 0.171	Hits@5: 0.121	Hits@1: 0.049
2020-11-24 18:19:53,224 - Epoch: 12000	MRR: 0.092	Hits@10: 0.166	Hits@5: 0.121	Hits@1: 0.051
2020-11-24 18:44:35,470 - Epoch: 13000	MRR: 0.091	Hits@10: 0.171	Hits@5: 0.125	Hits@1: 0.047
2020-11-24 19:38:48,145 - Epoch: 14000	MRR: 0.098	Hits@10: 0.179	Hits@5: 0.138	Hits@1: 0.056
2020-11-24 20:03:17,763 - Epoch: 15000	MRR: 0.095	Hits@10: 0.190	Hits@5: 0.136	Hits@1: 0.048
2020-11-24 20:27:42,593 - Epoch: 16000	MRR: 0.093	Hits@10: 0.176	Hits@5: 0.129	Hits@1: 0.050
2020-11-24 20:52:13,448 - Epoch: 17000	MRR: 0.092	Hits@10: 0.180	Hits@5: 0.129	Hits@1: 0.048
2020-11-24 21:16:44,186 - Epoch: 18000	MRR: 0.095	Hits@10: 0.181	Hits@5: 0.140	Hits@1: 0.050
2020-11-24 22:33:39,847 - Epoch: 19000	MRR: 0.094	Hits@10: 0.176	Hits@5: 0.140	Hits@1: 0.048
2020-11-24 22:53:07,159 - Epoch: 20000	MRR: 0.092	Hits@10: 0.174	Hits@5: 0.135	Hits@1: 0.045
2020-11-24 23:13:16,286 - Epoch: 21000	MRR: 0.092	Hits@10: 0.183	Hits@5: 0.138	Hits@1: 0.044
2020-11-24 23:33:15,170 - Epoch: 22000	MRR: 0.093	Hits@10: 0.175	Hits@5: 0.130	Hits@1: 0.047
2020-11-24 23:53:35,802 - Epoch: 23000	MRR: 0.090	Hits@10: 0.172	Hits@5: 0.126	Hits@1: 0.046
