2021-04-21 10:39:04,157 - Epoch: 1000	MRR: 0.026	Hits@10: 0.069	Hits@5: 0.033	Hits@1: 0.006
2021-04-21 10:55:04,223 - Epoch: 2000	MRR: 0.040	Hits@10: 0.066	Hits@5: 0.051	Hits@1: 0.016
2021-04-21 11:13:52,340 - Epoch: 3000	MRR: 0.054	Hits@10: 0.100	Hits@5: 0.067	Hits@1: 0.023
2021-04-21 11:34:09,779 - Epoch: 4000	MRR: 0.062	Hits@10: 0.119	Hits@5: 0.083	Hits@1: 0.029
2021-04-21 11:54:28,098 - Epoch: 5000	MRR: 0.061	Hits@10: 0.124	Hits@5: 0.091	Hits@1: 0.025
2021-04-21 12:14:49,507 - Epoch: 6000	MRR: 0.064	Hits@10: 0.126	Hits@5: 0.094	Hits@1: 0.026
2021-04-21 12:35:01,427 - Epoch: 7000	MRR: 0.072	Hits@10: 0.136	Hits@5: 0.105	Hits@1: 0.031
2021-04-21 12:55:37,865 - Epoch: 8000	MRR: 0.072	Hits@10: 0.136	Hits@5: 0.098	Hits@1: 0.034
2021-04-21 13:11:36,955 - Epoch: 9000	MRR: 0.069	Hits@10: 0.129	Hits@5: 0.100	Hits@1: 0.028
2021-04-21 13:21:53,946 - Epoch: 10000	MRR: 0.079	Hits@10: 0.136	Hits@5: 0.103	Hits@1: 0.043
2021-04-21 13:32:05,618 - Epoch: 11000	MRR: 0.081	Hits@10: 0.141	Hits@5: 0.104	Hits@1: 0.044
2021-04-21 13:42:31,274 - Epoch: 12000	MRR: 0.074	Hits@10: 0.138	Hits@5: 0.109	Hits@1: 0.032
2021-04-21 13:52:46,572 - Epoch: 13000	MRR: 0.080	Hits@10: 0.144	Hits@5: 0.110	Hits@1: 0.041
2021-04-21 14:03:03,628 - Epoch: 14000	MRR: 0.086	Hits@10: 0.156	Hits@5: 0.115	Hits@1: 0.048
2021-04-21 14:13:14,001 - Epoch: 15000	MRR: 0.083	Hits@10: 0.150	Hits@5: 0.116	Hits@1: 0.044
2021-04-21 14:23:30,083 - Epoch: 16000	MRR: 0.087	Hits@10: 0.153	Hits@5: 0.114	Hits@1: 0.051
2021-04-21 14:39:22,359 - Epoch: 17000	MRR: 0.090	Hits@10: 0.162	Hits@5: 0.126	Hits@1: 0.046
2021-04-21 14:59:13,568 - Epoch: 18000	MRR: 0.085	Hits@10: 0.158	Hits@5: 0.119	Hits@1: 0.044
2021-04-21 15:12:45,925 - Epoch: 19000	MRR: 0.083	Hits@10: 0.163	Hits@5: 0.118	Hits@1: 0.038
2021-04-21 15:28:52,218 - Epoch: 20000	MRR: 0.085	Hits@10: 0.159	Hits@5: 0.116	Hits@1: 0.042
